"FTVFUND_GRNT_CODE","FTVFUND_FUND_CODE","UI_INDEX"
"AA6570","226570","771862"
"AA6753","226753","771860"
"AA7050","227050","771858"
"AA7436","227436","771854"
"AA7686","227686","771849"
"AA7723","227723","771848"
"AA8033","228033","771846"
"AA8110","228110","771845"
"AA8514","228514","771843"
"AA8730","228730","771840"
"AB7292","227292","840975"
"AB7292","227295","840972"
"AB7292","227296","840974"
"AB7292","227297","840973"
"AB7877","227877","840971"
"AB7877","227878","840970"
"AB7877","227879","840969"
"AB8726","228726","840968"
"AB8726","228727","840967"
"AB8726","228728","840966"
"AD6482","226482","884709"
"AD6600","226600","884700"
"AD6600C","226601","884699"
"AD6755","226755","884695"
"AD6895","226895","884683"
"AD6919","226919","884692"
"AD7326","227326","884675"
"AD7326","227327","850925"
"AD7326","227328","884678"
"AD7326","227329","884677"
"AD7326","227330","884676"
"AD7400","227400","884674"
"AD7516","227516","884669"
"AD7639","227639","884663"
"AD7684","227684","884665"
"AD7684","227685","884664"
"AD7782","227782","884661"
"AD7928","227928","884655"
"AD7966","227966","884653"
"AD7966","227967","761776"
"AD7966","227968","798881"
"AD7966","227969","798880"
"AD7966","227970","761775"
"AD7966","227971","765981"
"AD8089","228089","884650"
"AD8135","228135","884645"
"AD8135","228136","884644"
"AD8135","228137","884643"
"AD8207","228207","884630"
"AD8207","228889",""
"AD8209","228209","884639"
"AD8209","228210","884641"
"AD8209","228211","884640"
"AD8225","228225","884635"
"AD8225","228226","884634"
"AD8225","228227","884633"
"AD8225","228228","884632"
"AD8225","228229","884631"
"AD8579","228579","884611"
"AD8646","228646","884610"
"AE8605","228605","850913"
"AF8164","228164","550992"
"AF8164","228343","550986"
"AF8307","228307","550989"
"AF8307","228308","550988"
"AF8307","228309","550990"
"AF8307","228310","550987"
"AF8307","228311","550991"
"AF8344","228344","550985"
"AF8344","228345","550984"
"AF8344","228346","550983"
"AF8344","228347","550982"
"AF8344","228348","550981"
"AF8344","228349","550980"
"AF8344","228350","550979"
"AF8344","228351","550978"
"AF8344","228352","550977"
"AG0120","220120","886989"
"AG0120","223037","886973"
"AG0120","223972","886972"
"AG0120","224803","848724"
"AG0120","224804","848723"
"AG6557","226557","848648"
"AG6557C","226558","848647"
"AG6561","226561","848642"
"AG6561","226562","848641"
"AG6680","226680","848640"
"AG6680","226681","848639"
"AG6736","226736","848635"
"AG6808","226808","848632"
"AG6845","226845","848629"
"AG6859","226859","848623"
"AG6863","226863","848624"
"AG6863","226897","848621"
"AG6869","226869","848628"
"AG6973","226973","848598"
"AG7023","227023","848602"
"AG7023","227024","848601"
"AG7185","227185","848593"
"AG7321","227321","848590"
"AG7332","227332","848591"
"AG7332","227381","848589"
"AG7394","227394","848587"
"AG7394C","227395","848586"
"AG7485","227485","848584"
"AG7551","227551","848581"
"AG7676","227676","848572"
"AG7687","227687","848571"
"AG7775","227775","848570"
"AG7853","227853","848565"
"AG8065","228065","848561"
"AG8183","228183","848558"
"AG8220","228220","848557"
"AG8220","228221","884638"
"AG8281","228281","848551"
"AG8281C","228282","848548"
"AG8395","228395","848545"
"AG8484","228484","848543"
"AG8496","228496","848541"
"AG8559","228559","848531"
"AG8780","228780","848524"
"AG8802","228802","848523"
"AH7028","227028","582986"
"AH7028P","227675","582983"
"AH7454","227454","582984"
"AI7455","227455","542996"
"AI7772","227772","542994"
"AI8442","228442","542992"
"AI8442","228443","542991"
"AJ8580","228580","695992"
"AK8271","228271","829937"
"AL6673","226673","875743"
"AL6744","226744","875741"
"AL6756","226756","875739"
"AL6894","226894","875734"
"AL7048","227048","875729"
"AL7048","227049","875728"
"AL7437","227437","875727"
"AL7437","227438","761793"
"AL7437","227439","742827"
"AL7437","227440","768828"
"AL7437","227441","738856"
"AL7564","227564","875724"
"AL7601","227601","875723"
"AL7721","227721","875706"
"AL7726","227726","875721"
"AL7749","227749","875716"
"AL7749","227751","875719"
