PROPOSAL_NUMBER,GRANT_CODE,PROJECT_STATUS,PROJECT_TITLE,DEPARTMENT,PI,AGREEMENT_TYPE,PRIME,SPONSOR,DUE_DATE,SUBMISSION_DATE,DIRECT_COST,INDIRECT_COST,TOTAL_COST,IIDS,IMCI,ARI,IGS,IHHE,IICS,FII
V200776,,Declined/Not Funded,CAREER: Mechanistic Investigation of Nonthermal Destruction of Poly- and Perfluoroalkyl Substances (PFAS) by Engineered Liquid-phase Plasma Discharge,COE Chemical &amp; Biological Eng-762,Sarah Wu,Grant,,National Science Foundation,7/26/23,7/26/23,389673,160304,549977,,,,,,,
V201237,,Declined/Not Funded,"CAREER: Construction for Climate-- Epsilon-poly-l-lysine as A Novel Natural Product for Sustainable Wooden Building Materials Protection 

","CNR Forest, Rangeland &amp; Fire Sci-691",Lili Cai,Grant,,National Science Foundation,7/27/22,7/26/22,476935,176532,653467,,,,,,,
V210275,AL7048,Awarded - Active,Increasing trout consumption in young children and families for cognitive and mental health benefit,CALS Family Consumer Science-875,Annie Roe,Grant,,National Institute of Food and Agriculture/USDA,8/25/22,8/23/22,810496,339504,1150000,,,YES,,,,
V210847,,Declined/Not Funded,Insulin-mediated Immunity to West Nile Virus Infection,RCI Inst for Health in Human Ecosys-582,Shirley Luckhart,Subaward,National Institutes of Health,Washington State University,2/27/23,2/22/23,742672,341211,1083883,,,,,YES,,
V210970,"LS4874, LS4874C",Awarded - Active,"Years 2 - 5 Coop Archaeological Activities, 20-CS-11040200-027","CLASS Culture, Society and Justice-852",Mark Warner,Cooperative Agreement,,"US Forest Service, Boise National Forest",7/31/22,8/1/22,46153.84,13846.16,60000,,,,,,,
V211170,CB7337,Termination in Process,Eradicating Misconceptions about Viruses using Multimodal Trace Data in an Intelligent Game-based Environment across Educational Contexts,RCI Inst for Interdisc Data Sci- (IIDS) 897,Barrie Robison,Grant,,National Institutes of Health,7/13/22,7/12/22,1245548.04,60033.59,1305580,YES,,,,,,
V220243,"NS4286, NS4286 C",Awarded - Active,MOD - Forestry and Land Use Economic and Biophysical Model Development and Analysis,CNR Natural Resources &amp; Society-651,Gregory Latta,Cooperative Agreement,,USDA Forest Service,8/22/22,8/17/22,75000,0,75000,,,,,,,
V220254,,Declined/Not Funded,System for Computer-Aided Evaluation of Home-based Physical Rehabilitation,RCI IMCI-772,Aleksandar Vakanski,Grant,,National Institutes of Health,7/5/22,7/1/22,550000,207244,757244,,YES,,,,,
V220341,,Declined/Not Funded,Improving water and nutrient availability through ecosystem restoration.,CALS Soils and Water Systems-826,Laurel Lynch,Grant,,National Institute of Food and Agriculture/USDA,9/15/22,9/13/22,454887,194952,649839,,,,,,,
V220376,,Declined/Not Funded,"NSF CPS: Medium: Cyber-informed Design, Education & Training for Energy Resiliency with Real-time Nuclear Reactor Operation","UOIF Center for Adv Energy Studies-855 DO NOT USE, see org 801",Robert Borrelli,Grant,,National Science Foundation,12/16/22,12/16/22,878746.76,317374.79,1196121,,,,,,,
V220389,,Declined/Not Funded,"Reservoir ecology, spillover pressure, and the public health burden of zoonotic infectious disease",RCI Inst for Interdisc Data Sci- (IIDS) 897,Scott Nuismer,Grant,,National Science Foundation,11/16/22,11/11/22,1334262,517112,1851374,YES,,,,,,
V220422,,Declined/Not Funded,Stabilization of coffee-flavored beverages using milk protein-galactomannan conjugates ,"CALS Animal, Vet &amp; Food Sciences-848",Da Chen,Grant,Utah State University,Dairy West,7/18/22,7/25/22,103814,0,103814,,,,,,,
V220430,,Declined/Not Funded,Single cell analyses of dormancy and artemisinin resistance in Plasmodium falciparum.,RCI Inst for Health in Human Ecosys-582,Andreas Vasdekis,Grant,,National Institutes of Health,11/16/22,11/14/22,283840,129474.5,413315,,,,,YES,,
V220459,,Declined/Not Funded,"Improving quality control of specialty potatoes using near infrared (NIR) spectroscopy, chemometrics, and machine learning",CALS Plant Science-870,Gustavo de Almeida Teixeira,Grant,,National Institute of Food and Agriculture/USDA,9/1/22,8/8/22,446404,140775,587179,,,,,,,
V220463,,Declined/Not Funded,Impacts of declining snowfall on soil-tree function: an experimental manipulation for process-based insight,CNR Natural Resources &amp; Society-651,Jan Eitel,Grant,,National Science Foundation,7/25/22,7/18/22,917014,380084,1297098,YES,,,,,,
V220487,RR6437,Awarded - Active,SEA-Neuman Forest Environmental Learning Pavilion,CAA Architecture-894,Scott Lawrence,Contract,,Palouse Land Trust,7/1/22,7/1/22,27252,1345,28597,,,,,,,
V220489,,Declined/Not Funded,DESIGN: Inclusive Mammalogy and Mentoring Leaders (I-MaML),CNR Fish &amp; Wildlife Sciences-724,Janet Rachlow Witham,Grant,,National Science Foundation,7/1/22,7/1/22,411520,88093.2,499614,,,,,,,
V220496,,Declined/Not Funded,DRAFT TITLE:  A multi-omics approach to understanding impact of cannabis use on human milk composition,CALS Family Consumer Science-875,Shelley McGuire,Subaward,National Institutes of Health,Washington State University,7/8/22,7/6/22,16914,8457,25371,,,,,,,
V220500,,Declined/Not Funded,"Collaborative Research: Investigating the Xylem Dysfunction Hypothesis, the Cambium-Phloem Death Hypothesis, and the Structural Overshoot Hypothesis of Fire-Induced Tree Mortality","CNR Forest, Rangeland &amp; Fire Sci-691",Alistair Smith,Grant,,National Science Foundation,7/29/22,7/22/22,1146023,349579,1495602,,,,,,,
V220506,,Declined/Not Funded,"CAREER:Ligand-based Metal Dissolution: Mechanisms, Complexes, and Complexities",COS Chemistry-887,Kristopher Waynant,Grant,,National Science Foundation,7/27/22,7/25/22,499310,186620,685930,,,,,,,
V220510,,Declined/Not Funded,CAREER: Distributed Reconfigurable Intelligent Scatterers: Theoretical and Technical Foundations ,COE Electrical &amp; Computer Eng-752,Ting-Yen Shih,Grant,,National Science Foundation,7/27/22,7/26/22,374048,147012,521060,,,,,,,
V220512,,Declined/Not Funded,"NSF Convergence Accelerator Track J: Sustainable food production, processing, and use: diversify production and divert potential industrial agriculture waste to support local food systems and reduce metabolic rift",CALS Family Consumer Science-875,Ginny Lane,Grant,,National Science Foundation,7/19/22,7/15/22,550602,199398,750000,,,,,,,
V220514,CE7135,Awarded - Active,"EPSCoR Research Infrastructure Improvement Program Track-1 (RII Track-1): 
RII Track-1: Idaho Community-engaged Resilience for Energy-Water Systems (I-CREWS)",RCI EPSCoR-873,Andrew Kliskey,Cooperative Agreement,,National Science Foundation,8/19/22,8/18/22,16779045,3220955,20000000,YES,YES,,,,,
